fecha,inicio_evento,fin_evento,pico_max,duracion_minutos
2023-02-25,2023-02-25 03:11:00,2023-02-25 03:38:00,0.694,27.0
2023-04-07,2023-04-07 03:30:00,2023-04-07 03:54:00,0.857,24.0
2023-10-31,2023-10-31 03:58:00,2023-10-31 04:51:00,0.945,53.0
2023-11-01,2023-11-01 02:34:00,2023-11-01 03:53:00,0.868,79.0
2023-11-02,2023-11-02 04:07:00,2023-11-02 04:32:00,0.697,25.0
2023-11-04,2023-11-04 04:09:00,2023-11-04 05:03:00,1.008,54.0
2023-11-11,2023-11-11 05:09:00,2023-11-11 05:41:00,0.647,32.0
2023-11-15,2023-11-15 01:46:00,2023-11-15 04:43:00,0.638,177.0
2023-11-22,2023-11-22 03:36:00,2023-11-22 04:37:00,1.074,61.0
2023-11-23,2023-11-23 04:17:00,2023-11-23 04:37:00,1.412,20.0
2023-11-26,2023-11-26 04:30:00,2023-11-26 05:08:00,0.87,38.0
2024-02-03,2024-02-03 00:46:00,2024-02-03 01:52:00,0.839,66.0
2024-02-08,2024-02-08 03:46:00,2024-02-08 05:07:00,0.86,81.0
2024-02-09,2024-02-09 01:42:00,2024-02-09 06:16:00,0.677,274.0
2024-02-10,2024-02-10 01:08:00,2024-02-10 02:17:00,0.749,69.0
2024-02-11,2024-02-11 01:26:00,2024-02-11 04:48:00,0.806,202.0
2024-02-12,2024-02-12 03:56:00,2024-02-12 04:50:00,1.011,54.0
2024-02-13,2024-02-13 03:52:00,2024-02-13 05:27:00,1.032,95.0
2024-02-16,2024-02-16 03:57:00,2024-02-16 05:21:00,1.126,84.0
2024-02-22,2024-02-22 05:07:00,2024-02-22 05:46:00,0.92,39.0
2024-02-23,2024-02-23 02:59:00,2024-02-23 05:24:00,0.62,145.0
2024-02-24,2024-02-24 03:22:00,2024-02-24 05:06:00,0.616,104.0
2024-02-27,2024-02-27 04:19:00,2024-02-27 04:39:00,1.353,20.0
2024-02-28,2024-02-28 01:11:00,2024-02-28 03:40:00,0.635,149.0
2024-02-29,2024-02-29 03:59:00,2024-02-29 05:27:00,0.612,88.0
2024-03-05,2024-03-05 02:48:00,2024-03-05 04:31:00,0.98,103.0
2024-03-06,2024-03-06 04:09:00,2024-03-06 04:53:00,0.808,44.0
2024-03-07,2024-03-07 03:36:00,2024-03-07 04:06:00,0.721,30.0
